Occupation,Female,Male,Gap
Legal occupations,1498.4876467853953,2156.503314036551,-658.0156672511555
Healthcare practitioner and technical occupations,1239.9225466194277,1695.5055656983934,-455.58301907896566
Sales and related occupations,689.5552542732884,1131.9237039176624,-442.368449644374
Management occupations,1466.4560958129798,1863.4394036506292,-396.98330783764936
Business and financial operations occupations,1341.284385355429,1716.2848235051308,-375.0004381497017
Computer and mathematical occupations,1543.0776002169823,1851.3559059305173,-308.278305713535
Protective service occupations,805.1985741529105,1108.1551841584296,-302.9566100055191
Education instruction and library occupations,1002.8505871501651,1294.0425871087307,-291.1919999585656
Production occupations,664.8151880757973,933.5648719682258,-268.7496838924285
Architecture and engineering occupations,1481.239809997668,1742.1002896891532,-260.8604796914851
"Arts, design, entertainment, sports, and media occupations",1037.9998507681673,1281.4336761811762,-243.4338254130089
Transportation and material moving occupations,619.703615309754,848.9628432769813,-229.25922796722728
"Life, physical, and social science occupations",1375.61120489802,1593.586024695576,-217.97481979755594
Building and grounds cleaning and maintenance occupations,463.5959993019959,658.8965879771706,-195.3005886751747
Construction and extraction occupations,819.7198650223237,999.3375943401696,-179.61772931784594
Personal care and service occupations,488.5203723926755,646.706916921319,-158.18654452864354
"Installation, maintenance, and repair occupations",905.1366267357055,1055.7815911482796,-150.64496441257415
Healthcare support occupations,587.1351770835724,735.4823332507021,-148.3471561671297
"Farming, fishing, and forestry occupations",513.7670458878682,651.5783365374105,-137.81129064954223
Community and social service occupations,1029.497984029098,1166.5417761199192,-137.04379209082117
Office and administrative support occupations,750.3579033194583,875.2608066948465,-124.90290337538818
Food preparation and serving related occupations,419.8121321458886,525.6234302668852,-105.81129812099658
